,ch_n,ch_e,station_name,lat,lon,commune_id,name,canton
742,1081810.397,2719921.001,Mendrisio S. Martino,45.8772942728,8.983159394560001,5254.0,Mendrisio,TI
743,1080867.6609999998,2719572.577,Mendrisio,45.8688773173,8.978434736819999,5254.0,Mendrisio,TI
744,1195180.949,2690356.413,Fluelen,46.90159739640001,8.62451823964,1207.0,Flüelen,UR
745,1134535.742,2718185.8910000003,Biasca,46.3518019401,8.974108018999999,5281.0,Biasca,TI
746,1117143.129,2722693.2569999998,Bellinzona,46.194567919399994,9.02807417896,5002.0,Bellinzona,TI
747,1095966.006,2716836.22,Lugano,46.005145451400004,8.94694425809,5192.0,Lugano,TI
748,1095964.48,2716836.57,Lugano,46.005131666400004,8.946948396569999,5192.0,Lugano,TI
749,1095921.351,2716858.7989999996,Lugano,46.0047399277,8.94722458521,5192.0,Lugano,TI
750,1211421.872,2688807.8,Steinen,47.0478791966,8.60737098682,1373.0,Steinen,SZ
751,1206055.158,2689107.917,Brunnen,46.999570446999996,8.61026556592,1364.0,Ingenbohl,SZ
752,1192348.946,2690939.49,Altdorf,46.876046200000005,8.63160462973,1201.0,Altdorf (UR),UR
753,1153593.471,2689774.765,Airolo,46.5276197158,8.60874694123,5061.0,Airolo,TI
754,1134560.299,2718190.7339999997,Biasca,46.3520219511,8.97417716697,5281.0,Biasca,TI
755,1117194.108,2722759.672,Bellinzona,46.1950143048,9.02894770366,5002.0,Bellinzona,TI
756,1105844.541,2715245.955,Mezzovico,46.09426504939999,8.928841950610002,5199.0,Mezzovico-Vira,TI
757,1105849.4070000001,2715227.494,Mezzovico,46.0943119681,8.92860449143,5199.0,Mezzovico-Vira,TI
758,1099802.03,2715632.026,Lamone-Cadempino,46.0398532869,8.93234530965,5189.0,Lamone,TI
759,1080866.772,2719573.5960000004,Mendrisio,45.868869142,8.97844763085,5254.0,Mendrisio,TI
760,1206053.482,2689082.91,Brunnen,46.9995587309,8.6099364817,1364.0,Ingenbohl,SZ
761,1206012.138,2689124.7539999997,Brunnen,46.9991812598,8.61047846737,1364.0,Ingenbohl,SZ
